Quarter,GHG,Value
September 2004,CO2,109.26
December 2004,CO2,109.19
March 2005,CO2,110.09
June 2005,CO2,112.39
September 2005,CO2,115.37
December 2005,CO2,117.67
March 2006,CO2,118.09
June 2006,CO2,116.69
September 2006,CO2,114.73
December 2006,CO2,113.29
March 2007,CO2,112.68
June 2007,CO2,112.38
September 2007,CO2,111.86
December 2007,CO2,111.12
March 2008,CO2,110.74
June 2008,CO2,110.9
September 2008,CO2,110.96
December 2008,CO2,110.23
March 2009,CO2,109.22
June 2009,CO2,108.96
September 2009,CO2,109.76
December 2009,CO2,110.73
March 2010,CO2,110.43
June 2010,CO2,108.15
September 2010,CO2,104.85
December 2010,CO2,102.15
March 2011,CO2,100.82
June 2011,CO2,100.14
September 2011,CO2,98.83
December 2011,CO2,97.12
March 2012,CO2,95.77
June 2012,CO2,95.59
September 2012,CO2,96.25
December 2012,CO2,96.79
March 2013,CO2,96.55
June 2013,CO2,95.62
September 2013,CO2,94.7
December 2013,CO2,93.68
March 2014,CO2,92.77
June 2014,CO2,92.4
September 2014,CO2,92.39
December 2014,CO2,92.36
March 2015,CO2,91.25
June 2015,CO2,88.5
September 2015,CO2,85.11
December 2015,CO2,82.37
March 2016,CO2,81.76
June 2016,CO2,83.7
September 2016,CO2,86.98
December 2016,CO2,90.01
March 2017,CO2,90.81
June 2017,CO2,89.03
September 2017,CO2,86.18
December 2017,CO2,84.07
March 2018,CO2,83.56
June 2018,CO2,83.99
September 2018,CO2,84.05
December 2018,CO2,83.32
March 2019,CO2,82.33
June 2019,CO2,81.95
September 2019,CO2,82.26
December 2019,CO2,81.6
March 2020,CO2,79.07
June 2020,CO2,75.26
September 2020,CO2,71.89
December 2020,CO2,70.44
March 2021,CO2,70.66
June 2021,CO2,71.12
September 2021,CO2,70.93
December 2021,CO2,70.09
March 2022,CO2,69.45
June 2022,CO2,69.55
September 2022,CO2,69.9
December 2022,CO2,70.11
March 2023,CO2,69.91
June 2023,CO2,69.3
September 2023,CO2,68.67
December 2023,CO2,68.34
September 2004,CH4,36.37
December 2004,CH4,36.32
March 2005,CH4,36.29
June 2005,CH4,36.31
September 2005,CH4,36.36
December 2005,CH4,36.38
March 2006,CH4,36.4
June 2006,CH4,36.5
September 2006,CH4,36.63
December 2006,CH4,36.71
March 2007,CH4,36.64
June 2007,CH4,36.39
September 2007,CH4,36.11
December 2007,CH4,35.9
March 2008,CH4,35.78
June 2008,CH4,35.7
September 2008,CH4,35.63
December 2008,CH4,35.54
March 2009,CH4,35.41
June 2009,CH4,35.17
September 2009,CH4,34.85
December 2009,CH4,34.59
March 2010,CH4,34.53
June 2010,CH4,34.72
September 2010,CH4,34.93
December 2010,CH4,35.06
March 2011,CH4,35.04
June 2011,CH4,34.95
September 2011,CH4,34.92
December 2011,CH4,34.9
March 2012,CH4,34.85
June 2012,CH4,34.81
September 2012,CH4,34.77
December 2012,CH4,34.7
March 2013,CH4,34.6
June 2013,CH4,34.44
September 2013,CH4,34.31
December 2013,CH4,34.21
March 2014,CH4,34.11
June 2014,CH4,34.02
September 2014,CH4,33.95
December 2014,CH4,33.92
March 2015,CH4,33.88
June 2015,CH4,33.74
September 2015,CH4,33.56
December 2015,CH4,33.43
March 2016,CH4,33.49
June 2016,CH4,33.73
September 2016,CH4,33.94
December 2016,CH4,34.02
March 2017,CH4,33.96
June 2017,CH4,33.88
September 2017,CH4,33.84
December 2017,CH4,33.79
March 2018,CH4,33.53
June 2018,CH4,33.02
September 2018,CH4,32.4
December 2018,CH4,31.97
March 2019,CH4,31.74
June 2019,CH4,31.55
September 2019,CH4,31.26
December 2019,CH4,31.12
March 2020,CH4,31.09
June 2020,CH4,31.12
September 2020,CH4,31.08
December 2020,CH4,30.99
March 2021,CH4,30.89
June 2021,CH4,30.8
September 2021,CH4,30.73
December 2021,CH4,30.58
March 2022,CH4,30.54
June 2022,CH4,30.77
September 2022,CH4,31.17
December 2022,CH4,31.48
March 2023,CH4,31.48
June 2023,CH4,31.25
September 2023,CH4,31.07
December 2023,CH4,31.0
September 2004,N2O,5.38
December 2004,N2O,5.38
March 2005,N2O,5.37
June 2005,N2O,5.38
September 2005,N2O,5.39
December 2005,N2O,5.39
March 2006,N2O,5.37
June 2006,N2O,5.32
September 2006,N2O,5.25
December 2006,N2O,5.21
March 2007,N2O,5.18
June 2007,N2O,5.14
September 2007,N2O,5.11
December 2007,N2O,5.09
March 2008,N2O,5.1
June 2008,N2O,5.14
September 2008,N2O,5.17
December 2008,N2O,5.18
March 2009,N2O,5.19
June 2009,N2O,5.21
September 2009,N2O,5.24
December 2009,N2O,5.26
March 2010,N2O,5.28
June 2010,N2O,5.31
September 2010,N2O,5.37
December 2010,N2O,5.39
March 2011,N2O,5.39
June 2011,N2O,5.36
September 2011,N2O,5.34
December 2011,N2O,5.33
March 2012,N2O,5.3
June 2012,N2O,5.25
September 2012,N2O,5.18
December 2012,N2O,5.12
March 2013,N2O,5.11
June 2013,N2O,5.13
September 2013,N2O,5.17
December 2013,N2O,5.2
March 2014,N2O,5.18
June 2014,N2O,5.14
September 2014,N2O,5.04
December 2014,N2O,5.0
March 2015,N2O,4.97
June 2015,N2O,4.96
September 2015,N2O,4.95
December 2015,N2O,4.94
March 2016,N2O,4.96
June 2016,N2O,5.02
September 2016,N2O,5.11
December 2016,N2O,5.18
March 2017,N2O,5.18
June 2017,N2O,5.11
September 2017,N2O,5.0
December 2017,N2O,4.94
March 2018,N2O,4.9
June 2018,N2O,4.86
September 2018,N2O,4.81
December 2018,N2O,4.76
March 2019,N2O,4.74
June 2019,N2O,4.72
September 2019,N2O,4.7
December 2019,N2O,4.7
March 2020,N2O,4.71
June 2020,N2O,4.76
September 2020,N2O,4.84
December 2020,N2O,4.9
March 2021,N2O,4.94
June 2021,N2O,4.98
September 2021,N2O,5.01
December 2021,N2O,5.03
March 2022,N2O,5.04
June 2022,N2O,5.07
September 2022,N2O,5.11
December 2022,N2O,5.14
March 2023,N2O,5.11
June 2023,N2O,5.01
September 2023,N2O,4.91
December 2023,N2O,4.85
September 2004,Other,1.36
December 2004,Other,1.37
March 2005,Other,1.36
June 2005,Other,1.33
September 2005,Other,1.27
December 2005,Other,1.24
March 2006,Other,1.24
June 2006,Other,1.27
September 2006,Other,1.31
December 2006,Other,1.34
March 2007,Other,1.37
June 2007,Other,1.39
September 2007,Other,1.42
December 2007,Other,1.45
March 2008,Other,1.49
June 2008,Other,1.54
September 2008,Other,1.59
December 2008,Other,1.63
March 2009,Other,1.67
June 2009,Other,1.7
September 2009,Other,1.74
December 2009,Other,1.77
March 2010,Other,1.8
June 2010,Other,1.84
September 2010,Other,1.89
December 2010,Other,1.94
March 2011,Other,1.97
June 2011,Other,1.99
September 2011,Other,2.01
December 2011,Other,2.04
March 2012,Other,2.07
June 2012,Other,2.08
September 2012,Other,2.09
December 2012,Other,2.1
March 2013,Other,2.13
June 2013,Other,2.17
September 2013,Other,2.22
December 2013,Other,2.26
March 2014,Other,2.29
June 2014,Other,2.33
September 2014,Other,2.36
December 2014,Other,2.39
March 2015,Other,2.42
June 2015,Other,2.44
September 2015,Other,2.47
December 2015,Other,2.5
March 2016,Other,2.52
June 2016,Other,2.54
September 2016,Other,2.54
December 2016,Other,2.55
March 2017,Other,2.57
June 2017,Other,2.57
September 2017,Other,2.56
December 2017,Other,2.55
March 2018,Other,2.58
June 2018,Other,2.64
September 2018,Other,2.7
December 2018,Other,2.76
March 2019,Other,2.79
June 2019,Other,2.79
September 2019,Other,2.8
December 2019,Other,2.81
March 2020,Other,2.84
June 2020,Other,2.89
September 2020,Other,2.94
December 2020,Other,2.98
March 2021,Other,2.98
June 2021,Other,2.94
September 2021,Other,2.9
December 2021,Other,2.87
March 2022,Other,2.87
June 2022,Other,2.88
September 2022,Other,2.9
December 2022,Other,2.92
March 2023,Other,2.93
June 2023,Other,2.93
September 2023,Other,2.92
December 2023,Other,2.92
